Universities;Overall;Teaching;Research;Citations;International_outlook;students_per_staff;International_students;Female_ratio;Male_ratio
Oxford;95,6;91,3;99,6;98;96,4;11,1;41;46;54
Stanford;94,9;92,2;96,7;99,9;79,5;7,4;23;44;56
Harvard;94,8;94,4;98,8;99,4;77,7;9,3;25;49;51
Cambridge;94;90,3;99,2;95,6;95,7;11;38;47;53
Yale;91,6;91,9;93,8;97,9;68,4;6;20;50;50
Princeton;91,5;88,8;92,5;98,9;80,2;8;23;46;54
Columbia;86,8;85,1;82,9;97,7;79,8;5,7;39;48;52
Toronto;86;75,4;90,9;94,5;87,2;20;22;59;41
Peking;83,9;89,6;91,3;75,4;61,2;11,1;16;43;57
Melbourne;78,9;67,1;76,3;90,1;93,9;27;48;57;43
